,lat,lon,avg_windspeed,date
0,45.5,-125.0,10.776254316684765,2021-04-12
1,45.5,-124.38,8.60759448267204,2021-04-12
2,45.5,-123.75,5.450570436271988,2021-04-12
3,45.5,-123.12,4.945154031837219,2021-04-12
4,45.5,-122.5,4.821983593246358,2021-04-12
5,45.5,-121.88,4.256011722452516,2021-04-12
6,45.5,-121.25,4.035267840526128,2021-04-12
7,45.5,-120.62,4.557893698247885,2021-04-12
8,45.5,-120.0,4.646044942696591,2021-04-12
9,45.5,-119.38,3.994453814218256,2021-04-12
10,45.5,-118.75,3.3589661333278857,2021-04-12
11,45.5,-118.12,3.129430162397441,2021-04-12
12,45.5,-117.5,3.243522653129867,2021-04-12
13,45.5,-116.88,3.240311137359088,2021-04-12
14,45.5,-116.25,2.706413985779303,2021-04-12
15,46.0,-125.0,9.493097575661894,2021-04-12
16,46.0,-124.38,7.911843466916341,2021-04-12
17,46.0,-123.75,4.846149747648835,2021-04-12
18,46.0,-123.12,4.163962463695988,2021-04-12
19,46.0,-122.5,4.490967865457281,2021-04-12
20,46.0,-121.88,4.284578339324652,2021-04-12
21,46.0,-121.25,4.414988888546106,2021-04-12
22,46.0,-120.62,4.812890479160092,2021-04-12
23,46.0,-120.0,3.741536663389521,2021-04-12
24,46.0,-119.38,2.6226894649886985,2021-04-12
25,46.0,-118.75,2.8519703815977917,2021-04-12
26,46.0,-118.12,3.0527621572030417,2021-04-12
27,46.0,-117.5,2.8061622069221417,2021-04-12
28,46.0,-116.88,3.033087034465447,2021-04-12
29,46.0,-116.25,3.2036340631310707,2021-04-12
30,46.5,-125.0,8.052779137046839,2021-04-12
31,46.5,-124.38,6.3105509175939,2021-04-12
32,46.5,-123.75,4.597685708908407,2021-04-12
33,46.5,-123.12,4.3584051583915935,2021-04-12
34,46.5,-122.5,4.00222531278166,2021-04-12
35,46.5,-121.88,3.5937741172709323,2021-04-12
36,46.5,-121.25,3.784795910494468,2021-04-12
37,46.5,-120.62,4.424988113130147,2021-04-12
38,46.5,-120.0,4.341631706234337,2021-04-12
39,46.5,-119.38,3.697701146614715,2021-04-12
40,46.5,-118.75,3.0347169237139435,2021-04-12
41,46.5,-118.12,3.568940787856919,2021-04-12
42,46.5,-117.5,3.2153212276408367,2021-04-12
43,46.5,-116.88,3.1179761215941535,2021-04-12
44,46.5,-116.25,3.8335612533260246,2021-04-12
45,47.0,-125.0,6.911436092331481,2021-04-12
46,47.0,-124.38,4.8460573640467635,2021-04-12
47,47.0,-123.75,3.78619651459987,2021-04-12
48,47.0,-123.12,4.283139716658218,2021-04-12
49,47.0,-122.5,4.110246878948915,2021-04-12
50,47.0,-121.88,3.336812558324904,2021-04-12
51,47.0,-121.25,3.04519191276906,2021-04-12
52,47.0,-120.62,4.0951143852310805,2021-04-12
53,47.0,-120.0,4.810266630281803,2021-04-12
54,47.0,-119.38,5.069525343217822,2021-04-12
55,47.0,-118.75,5.132265776199454,2021-04-12
56,47.0,-118.12,4.058841541616277,2021-04-12
57,47.0,-117.5,3.6439770489566548,2021-04-12
58,47.0,-116.88,3.3761403457533024,2021-04-12
59,47.0,-116.25,3.783603076076398,2021-04-12
60,47.5,-125.0,6.699967345446136,2021-04-12
61,47.5,-124.38,4.529114569427452,2021-04-12
62,47.5,-123.75,2.9363910048911066,2021-04-12
63,47.5,-123.12,4.507351674896092,2021-04-12
64,47.5,-122.5,4.261675304422182,2021-04-12
65,47.5,-121.88,3.4045787879692697,2021-04-12
66,47.5,-121.25,3.0867754678215977,2021-04-12
67,47.5,-120.62,3.3500886039394064,2021-04-12
68,47.5,-120.0,4.461665523992252,2021-04-12
69,47.5,-119.38,5.387492549316483,2021-04-12
70,47.5,-118.75,6.0266106273072415,2021-04-12
71,47.5,-118.12,5.292037087900615,2021-04-12
72,47.5,-117.5,3.969681985020401,2021-04-12
73,47.5,-116.88,3.0721084824641554,2021-04-12
74,47.5,-116.25,3.060636936787802,2021-04-12
75,48.0,-125.0,5.71875894766406,2021-04-12
76,48.0,-124.38,4.455077692359704,2021-04-12
77,48.0,-123.75,3.1551264501352123,2021-04-12
78,48.0,-123.12,3.0319322567932923,2021-04-12
79,48.0,-122.5,3.358257663021055,2021-04-12
80,48.0,-121.88,3.057406153613328,2021-04-12
81,48.0,-121.25,2.8056432648947034,2021-04-12
82,48.0,-120.62,2.589793477634451,2021-04-12
