,ref_point_lat,ref_point_lon,objectid,fac_type,loc_id,region_code,state_name,county,fac_name,lat,lon,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
0,47-05-05.3300N,123-46-25.6000W,18379,AIRPORT,94WA,ANM,WASHINGTON,GRAYS HARBOR,WISHKAH RIVER RANCH,47.08,-123.774,171.34999999999997,166.034,161.042,111.24300000000001,264.025,123.26600000000002,114.58000000000001,126.21800000000002,117.59000000000003,134.876,172.823,190.318
1,48-42-34.4070N,122-10-39.5660W,18381,AIRPORT,WA12,ANM,WASHINGTON,WHATCOM,ACME FIELD,48.71,-122.178,126.97199999999998,111.54000000000002,103.338,85.07099999999998,163.43199999999996,75.19500000000001,67.49600000000001,67.04100000000001,77.90900000000002,97.279,125.49,127.48000000000002
2,48-18-50.2000N,117-50-25.1000W,18382,AIRPORT,WA57,ANM,WASHINGTON,STEVENS,BLUECREEK,48.31,-117.84,106.77900000000002,117.51700000000001,111.00099999999998,119.30300000000001,223.23899999999998,99.89999999999999,106.05799999999999,107.34,97.48299999999998,110.60399999999998,106.16999999999997,92.81400000000002
3,45-54-00.0000N,119-54-20.0000W,18383,AIRPORT,WA00,ANM,WASHINGTON,KLICKITAT,MERCER RANCH,45.9,-119.906,186.59099999999998,221.29100000000005,180.82300000000006,182.76799999999997,347.301,181.641,166.94099999999997,171.53099999999998,159.78099999999998,202.41899999999998,210.48499999999996,187.871
4,45-55-59.4020N,122-25-04.3530W,18384,AIRPORT,WA79,ANM,WASHINGTON,CLARK,WALTER SUTTON'S PRIVATE STRIP,45.93,-122.418,127.00599999999997,134.58800000000002,110.827,108.939,220.48599999999993,105.59,96.34200000000003,102.12999999999998,108.22500000000001,112.07999999999998,126.933,151.481
5,45-53-39.4070N,122-32-53.3570W,18385,AIRPORT,WA80,ANM,WASHINGTON,CLARK,MC CLELLAN FIELD,45.89,-122.548,134.727,130.381,114.70599999999997,104.128,216.86900000000003,106.144,96.97699999999999,105.706,107.09899999999999,110.68199999999999,128.87300000000002,150.765
6,48-29-54.6000N,122-39-45.0000W,18386,AIRPORT,74S,ANM,WASHINGTON,SKAGIT,ANACORTES,48.5,-122.663,140.79999999999998,134.00099999999998,121.12599999999999,90.28199999999998,196.096,90.64699999999999,81.64099999999999,87.80099999999999,84.06300000000002,111.59400000000001,141.33999999999997,146.12600000000003
7,48-27-24.3750N,122-32-21.6040W,18387,AIRPORT,WN18,ANM,WASHINGTON,SKAGIT,BECKER'S LANDING,48.46,-122.539,140.79999999999998,134.00099999999998,121.12599999999999,90.28199999999998,196.096,90.64699999999999,81.64099999999999,87.80099999999999,84.06300000000002,111.59400000000001,141.33999999999997,146.12600000000003
8,46-04-26.8800N,116-57-53.5400W,18390,AIRPORT,D69,ANM,WASHINGTON,ASOTIN,ROGERSBURG,46.07,-116.965,162.61399999999995,173.469,155.219,151.819,271.017,135.577,125.97899999999997,122.93400000000001,120.32100000000001,159.794,169.64600000000002,162.279
9,48-09-38.7000N,122-09-32.5000W,18391,AIRPORT,AWO,ANM,WASHINGTON,SNOHOMISH,ARLINGTON MUNI,48.16,-122.159,126.67399999999999,109.35900000000002,105.363,81.92400000000002,164.97200000000004,73.299,63.07299999999999,66.444,77.14199999999998,92.55600000000001,125.28400000000003,131.636
10,48-16-14.3720N,122-01-09.5040W,18393,AIRPORT,89WA,ANM,WASHINGTON,SNOHOMISH,WILLIAMS AIRPATCH,48.27,-122.019,126.67399999999999,109.35900000000002,105.363,81.92400000000002,164.97200000000004,73.299,63.07299999999999,66.444,77.14199999999998,92.55600000000001,125.28400000000003,131.636
11,46-15-00.0000N,117-14-56.4000W,18395,AIRPORT,00WN,ANM,WASHINGTON,ASOTIN,HAWKS RUN,46.25,-117.249,162.61399999999995,173.469,155.219,151.819,271.017,135.577,125.97899999999997,122.93400000000001,120.32100000000001,159.794,169.64600000000002,162.279
12,47-16-50.3620N,122-08-58.4210W,18396,AIRPORT,WA84,ANM,WASHINGTON,KING,AUBURN ACADEMY,47.28,-122.15,129.195,127.341,110.17599999999999,94.02300000000001,190.80300000000003,87.67099999999999,77.70800000000001,78.164,94.801,107.837,136.032,142.39400000000003
13,47-19-39.7000N,122-13-36.0000W,18402,AIRPORT,S50,ANM,WASHINGTON,KING,AUBURN MUNI,47.33,-122.227,129.195,127.341,110.17599999999999,94.02300000000001,190.80300000000003,87.67099999999999,77.70800000000001,78.164,94.801,107.837,136.032,142.39400000000003
14,47-23-43.3280N,121-32-11.2990W,18403,AIRPORT,4W0,ANM,WASHINGTON,KING,BANDERA STATE,47.4,-121.536,119.601,136.787,110.19000000000001,102.264,206.21199999999993,96.23500000000001,87.481,89.457,96.35799999999999,114.00600000000001,128.17100000000002,140.645
15,46-36-31.0550N,119-17-25.5050W,18404,AIRPORT,6WA3,ANM,WASHINGTON,FRANKLIN,GREEN ACRES,46.61,-119.29,164.71999999999997,192.469,166.46900000000002,180.235,334.24099999999993,156.648,148.48899999999998,145.90900000000005,141.65900000000002,167.59499999999997,175.88600000000005,156.91499999999996
16,45-49-36.4670N,122-34-36.6820W,18405,AIRPORT,W52,ANM,WASHINGTON,CLARK,GOHEEN,45.83,-122.577,134.727,130.381,114.70599999999997,104.128,216.86900000000003,106.144,96.97699999999999,105.706,107.09899999999999,110.68199999999999,128.87300000000002,150.765
17,45-45-52.4000N,122-30-54.3000W,18406,AIRPORT,W58,ANM,WASHINGTON,CLARK,CEDARS NORTH AIRPARK,45.76,-122.515,134.727,130.381,114.70599999999997,104.128,216.86900000000003,106.144,96.97699999999999,105.706,107.09899999999999,110.68199999999999,128.87300000000002,150.765
18,45-48-57.4130N,122-33-10.3550W,18407,AIRPORT,WA87,ANM,WASHINGTON,CLARK,PARKSIDE AIRPARK,45.82,-122.553,134.727,130.381,114.70599999999997,104.128,216.86900000000003,106.144,96.97699999999999,105.706,107.09899999999999,110.68199999999999,128.87300000000002,150.765
19,45-51-02.4100N,122-32-40.2500W,18408,AIRPORT,59AS,ANM,WASHINGTON,CLARK,BECKER FIELD,45.85,-122.545,134.727,130.381,114.70599999999997,104.128,216.86900000000003,106.144,96.97699999999999,105.706,107.09899999999999,110.68199999999999,128.87300000000002,150.765
20,48-47-33.7000N,122-32-15.1000W,18412,AIRPORT,BLI,ANM,WASHINGTON,WHATCOM,BELLINGHAM INTL,48.79,-122.538,152.916,141.97299999999998,122.33600000000001,95.44099999999999,193.76399999999998,91.23500000000001,83.10400000000003,83.78199999999998,85.28,114.78400000000002,144.91099999999997,150.89399999999998
21,48-43-59.3980N,122-21-04.5900W,18415,AIRPORT,WA90,ANM,WASHINGTON,WHATCOM,FLOATHAVEN AIRSTRIP,48.73,-122.351,126.97199999999998,111.54000000000002,103.338,85.07099999999998,163.43199999999996,75.19500000000001,67.49600000000001,67.04100000000001,77.90900000000002,97.279,125.49,127.48000000000002
22,48-39-10.6000N,122-35-09.3200W,18417,AIRPORT,WA93,ANM,WASHINGTON,WHATCOM,ELIZA ISLAND,48.65,-122.586,152.916,141.97299999999998,122.33600000000001,95.44099999999999,193.76399999999998,91.23500000000001,83.10400000000003,83.78199999999998,85.28,114.78400000000002,144.91099999999997,150.89399999999998
23,46-55-55.5600N,117-58-33.8070W,18418,AIRPORT,52WA,ANM,WASHINGTON,ADAMS,HONN FARM,46.93,-117.976,186.97299999999996,200.00299999999996,187.609,186.932,341.873,167.608,160.695,158.90300000000002,156.075,189.994,205.86900000000006,188.57500000000005
24,47-16-05.3620N,122-04-04.4130W,18421,AIRPORT,51WA,ANM,WASHINGTON,KING,EVERGREEN SKY RANCH,47.27,-122.068,129.195,127.341,110.17599999999999,94.02300000000001,190.80300000000003,87.67099999999999,77.70800000000001,78.164,94.801,107.837,136.032,142.39400000000003
25,47-18-56.3630N,122-00-35.4090W,18422,AIRPORT,95WA,ANM,WASHINGTON,KING,BLACK DIAMOND,47.32,-122.01,129.195,127.341,110.17599999999999,94.02300000000001,190.80300000000003,87.67099999999999,77.70800000000001,78.164,94.801,107.837,136.032,142.39400000000003
26,48-34-44.3700N,122-49-34.6470W,18425,AIRPORT,38WA,ANM,WASHINGTON,SAN JUAN,BLAKELY ISLAND,48.58,-122.826,152.916,141.97299999999998,122.33600000000001,95.44099999999999,193.76399999999998,91.23500000000001,83.10400000000003,83.78199999999998,85.28,114.78400000000002,144.91099999999997,150.89399999999998
27,47-29-24.9000N,122-45-53.3000W,18426,AIRPORT,PWT,ANM,WASHINGTON,KITSAP,BREMERTON NTL,47.49,-122.765,122.71300000000001,120.37400000000001,107.78699999999999,95.48599999999999,192.262,90.24699999999999,83.48899999999998,83.192,97.28,110.60199999999999,132.166,130.92999999999998
28,47-36-27.0000N,122-46-28.0000W,18428,AIRPORT,WA96,ANM,WASHINGTON,KITSAP,LEISURELAND AIRPARK,47.61,-122.774,120.70899999999999,119.45100000000004,109.36600000000003,89.21300000000001,184.37100000000007,84.004,75.80000000000001,80.92500000000001,88.943,107.98100000000002,132.12,129.053
